,DA_FB_Ht_2,DA_FB_Ht_20,DA_FB_Ht_40,DA_FB_Ht_80,DA_Ran_Ht_2,DA_Ran_Ht_20,DA_Ran_Ht_40,DA_Ran_Ht_80,DA_Reg_Ht_2,DA_Reg_Ht_20,DA_Reg_Ht_40,DA_Reg_Ht_80,DA_USPG_Ht_2,DA_USPG_Ht_20,DA_USPG_Ht_40,DA_USPG_Ht_80,ecc_clo_FB_Ht_2,ecc_clo_FB_Ht_20,ecc_clo_FB_Ht_40,ecc_clo_FB_Ht_80,ecc_clo_Ran_Ht_2,ecc_clo_Ran_Ht_20,ecc_clo_Ran_Ht_40,ecc_clo_Ran_Ht_80,ecc_clo_Reg_Ht_2,ecc_clo_Reg_Ht_20,ecc_clo_Reg_Ht_40,ecc_clo_Reg_Ht_80,ecc_clo_USPG_Ht_2,ecc_clo_USPG_Ht_20,ecc_clo_USPG_Ht_40,ecc_clo_USPG_Ht_80,lpsi_FB_Ht_2,lpsi_FB_Ht_20,lpsi_FB_Ht_40,lpsi_FB_Ht_80,lpsi_Ran_Ht_2,lpsi_Ran_Ht_20,lpsi_Ran_Ht_40,lpsi_Ran_Ht_80,lpsi_Reg_Ht_2,lpsi_Reg_Ht_20,lpsi_Reg_Ht_40,lpsi_Reg_Ht_80,lpsi_USPG_Ht_2,lpsi_USPG_Ht_20,lpsi_USPG_Ht_40,lpsi_USPG_Ht_80,mdl_FB_Ht_2,mdl_FB_Ht_20,mdl_FB_Ht_40,mdl_FB_Ht_80,mdl_Ran_Ht_2,mdl_Ran_Ht_20,mdl_Ran_Ht_40,mdl_Ran_Ht_80,mdl_Reg_Ht_2,mdl_Reg_Ht_20,mdl_Reg_Ht_40,mdl_Reg_Ht_80,mdl_USPG_Ht_2,mdl_USPG_Ht_20,mdl_USPG_Ht_40,mdl_USPG_Ht_80
36,1,1,2,4,0,2,1,3,2,1,2,1,9,8,2,22,2,1,2,2,0,1,0,4,0,1,4,8,8,7,13,8,2,2,4,5,2,3,4,4,3,2,4,7,3,5,25,19,2,2,2,2,3,4,4,4,3,2,2,1,4,6,7,14
37,1,1,2,3,1,0,2,4,1,3,1,5,5,12,19,15,1,1,2,2,0,0,0,4,1,1,3,4,5,4,7,13,2,2,2,4,1,3,4,4,2,6,2,5,5,10,18,12,2,2,2,4,3,4,5,5,1,4,1,5,6,11,14,10
38,1,2,1,3,0,1,2,4,1,1,3,1,5,8,16,17,1,2,1,2,0,0,3,4,0,1,1,6,3,6,9,8,1,2,4,3,1,2,4,5,2,1,3,2,8,12,16,10,2,2,2,3,3,2,5,4,2,1,3,1,4,8,9,9
39,1,2,2,3,0,1,3,4,1,1,1,5,2,25,5,28,1,1,2,2,0,0,3,3,1,0,1,9,0,17,3,14,2,2,2,3,1,4,3,4,1,1,4,6,5,16,7,26,2,3,2,3,3,4,4,5,1,0,1,5,2,17,10,22
40,0,3,2,3,0,1,1,3,2,2,0,0,4,13,17,19,1,1,2,1,0,0,2,2,1,1,0,2,3,5,8,18,1,2,4,3,1,3,3,4,2,3,2,0,7,7,17,12,1,2,2,3,2,4,3,5,2,3,0,0,1,9,7,12
41,1,1,1,3,1,0,2,4,0,0,3,5,3,10,18,17,1,1,3,1,0,0,0,3,0,0,2,5,1,5,10,14,2,2,4,4,0,2,4,4,1,4,2,5,4,9,11,10,2,2,2,2,1,4,3,4,1,2,3,5,4,10,13,12
42,1,3,5,3,0,1,2,4,1,4,1,2,1,11,12,17,2,1,4,2,0,0,0,5,1,1,1,8,1,10,7,5,0,2,2,3,0,3,3,5,1,4,3,2,4,12,14,19,2,2,2,4,3,1,5,5,1,4,1,2,4,14,14,11
43,1,1,2,3,0,1,1,3,1,0,0,3,3,9,9,15,1,1,2,1,0,0,0,4,0,0,2,7,2,4,8,12,1,2,4,3,1,3,3,5,2,3,0,5,6,16,16,9,2,2,2,2,3,4,5,5,1,2,0,3,7,9,9,17
44,1,2,2,3,1,0,2,4,1,2,2,1,6,7,21,17,1,2,2,4,0,0,2,2,0,1,3,6,4,2,8,8,2,2,4,4,1,1,3,4,1,3,2,8,7,9,12,14,2,2,2,2,3,3,4,5,1,3,2,1,7,6,3,14
45,0,1,2,3,1,0,3,3,3,1,0,3,3,13,14,11,0,1,2,2,0,0,0,4,1,1,0,9,3,6,5,5,0,3,4,4,2,2,4,4,4,2,1,8,4,13,11,6,1,3,2,2,3,3,4,4,4,2,0,3,3,8,9,18
